age,job,marital,deposit
26,admin.,single,yes
43,management,married,yes
25,blue-collar,single,yes
27,blue-collar,married,yes
30,technician,married,yes
28,admin.,single,yes
27,blue-collar,married,yes
32,admin.,divorced,yes
41,blue-collar,single,yes
37,technician,single,yes
27,technician,single,yes
29,services,single,yes
33,services,married,yes
36,technician,married,yes
28,blue-collar,single,yes
55,blue-collar,married,yes
51,technician,married,yes
39,technician,single,yes
42,blue-collar,divorced,yes
33,services,single,yes
36,entrepreneur,divorced,yes
45,technician,married,yes
37,self-employed,married,yes
46,unemployed,married,yes
32,self-employed,single,yes
28,technician,single,yes
45,admin.,divorced,yes
41,blue-collar,single,yes
59,blue-collar,divorced,yes
47,technician,single,yes
31,blue-collar,single,yes
31,management,single,yes
33,entrepreneur,married,yes
52,entrepreneur,married,yes
26,self-employed,single,yes
25,technician,single,yes
25,blue-collar,married,yes
28,blue-collar,single,yes
33,entrepreneur,divorced,yes
45,management,divorced,yes
36,services,married,yes
26,blue-collar,single,yes
38,technician,married,yes
56,blue-collar,single,yes
26,admin.,single,yes
26,technician,married,yes
25,blue-collar,single,yes
26,unemployed,single,yes
40,blue-collar,married,yes
37,admin.,married,yes
43,blue-collar,single,yes
41,services,divorced,yes
49,blue-collar,married,yes
29,admin.,divorced,yes
39,services,divorced,yes
38,management,married,yes
26,technician,married,yes
32,management,married,yes
33,blue-collar,married,yes
31,management,single,yes
49,blue-collar,married,yes
27,unemployed,single,yes
30,blue-collar,single,yes
35,blue-collar,married,yes
26,blue-collar,single,yes
45,entrepreneur,married,yes
34,admin.,married,yes
28,admin.,single,yes
25,blue-collar,single,yes
30,blue-collar,single,yes
30,services,married,yes
47,services,married,yes
57,admin.,divorced,yes
38,management,married,yes
54,technician,married,yes
25,blue-collar,single,yes
30,blue-collar,married,yes
26,management,single,yes
31,student,married,yes
29,blue-collar,single,yes
49,blue-collar,married,yes
60,retired,divorced,yes
60,management,married,yes
29,management,single,yes
55,management,divorced,yes
44,admin.,married,yes
47,technician,married,yes
35,admin.,married,yes
35,entrepreneur,married,yes
38,technician,married,yes
34,entrepreneur,married,yes
50,technician,married,yes
43,admin.,married,yes
44,admin.,divorced,yes
51,services,divorced,yes
31,technician,married,yes
39,technician,married,yes
59,management,married,yes
25,services,single,yes
58,management,married,yes
30,entrepreneur,married,yes
34,blue-collar,single,yes
51,services,divorced,yes
60,retired,married,yes
51,entrepreneur,married,yes
37,management,divorced,yes
30,blue-collar,single,yes
46,entrepreneur,divorced,yes
29,student,single,yes
27,entrepreneur,married,yes
28,management,single,yes
34,blue-collar,single,yes
29,blue-collar,single,yes
27,management,single,yes
26,technician,single,yes
36,management,married,yes
44,blue-collar,married,yes
39,blue-collar,married,yes
30,technician,married,yes
31,unemployed,divorced,yes
56,blue-collar,married,yes
29,blue-collar,married,yes
43,blue-collar,married,yes
32,blue-collar,married,yes
30,admin.,single,yes
40,blue-collar,married,yes
42,services,married,yes
27,student,married,yes
35,management,married,yes
35,housemaid,married,yes
32,blue-collar,single,yes
39,technician,married,yes
31,blue-collar,divorced,yes
26,services,single,yes
42,management,married,yes
27,services,single,yes
33,self-employed,divorced,yes
51,blue-collar,married,yes
33,admin.,married,yes
30,technician,single,yes
52,housemaid,married,yes
42,blue-collar,divorced,yes
31,management,divorced,yes
27,services,married,yes
44,blue-collar,single,yes
40,entrepreneur,divorced,yes
46,housemaid,divorced,yes
32,services,divorced,yes
56,technician,divorced,yes
33,blue-collar,married,yes
33,blue-collar,married,yes
32,self-employed,married,yes
41,blue-collar,divorced,yes
31,admin.,single,yes
30,admin.,divorced,yes
34,admin.,divorced,yes
43,entrepreneur,married,yes
28,blue-collar,married,yes
32,admin.,divorced,yes
31,blue-collar,divorced,yes
35,entrepreneur,single,yes
31,management,married,yes
25,services,single,yes
56,retired,divorced,yes
47,technician,married,yes
39,management,married,yes
51,management,married,yes
54,technician,divorced,yes
58,retired,married,yes
42,unemployed,married,yes
56,services,married,yes
55,housemaid,married,yes
26,blue-collar,single,yes
40,admin.,single,yes
26,technician,single,yes
35,management,single,yes
34,services,single,yes
41,management,single,yes
44,management,married,yes
33,management,single,yes
36,management,divorced,yes
38,technician,married,yes
35,technician,married,yes
41,technician,single,yes
41,management,divorced,yes
28,blue-collar,married,yes
26,services,married,yes
39,blue-collar,single,yes
25,admin.,married,yes
37,admin.,married,yes
25,management,married,yes
46,management,divorced,yes
25,blue-collar,single,yes
28,technician,single,yes
33,services,divorced,yes
32,management,single,yes
32,blue-collar,married,yes
47,technician,single,yes
50,entrepreneur,married,yes
27,technician,married,yes
45,admin.,married,yes
51,admin.,single,yes
36,admin.,married,yes
51,self-employed,married,yes
33,services,single,yes
59,technician,married,yes
38,entrepreneur,married,yes
40,services,married,yes
51,blue-collar,married,yes
41,entrepreneur,single,yes
38,entrepreneur,married,yes
31,management,married,yes
28,admin.,single,yes
41,blue-collar,married,yes
33,management,divorced,yes
25,student,single,yes
45,admin.,divorced,yes
31,blue-collar,married,yes
28,services,single,yes
49,technician,divorced,yes
25,services,married,yes
28,unemployed,single,yes
54,retired,married,yes
28,technician,single,yes
27,technician,single,yes
49,blue-collar,single,yes
53,blue-collar,married,yes
26,technician,single,yes
37,services,married,yes
34,blue-collar,single,yes
51,retired,married,yes
39,housemaid,married,yes
35,technician,single,yes
51,unemployed,married,yes
30,management,single,yes
42,blue-collar,single,yes
54,management,married,yes
51,blue-collar,married,yes
57,retired,divorced,yes
30,management,married,yes
37,blue-collar,single,yes
39,technician,married,yes
35,technician,married,yes
48,management,married,yes
31,management,married,yes
35,self-employed,married,yes
48,housemaid,married,yes
53,housemaid,married,yes
27,technician,single,yes
55,technician,married,yes
40,services,married,yes
40,self-employed,single,yes
38,blue-collar,divorced,yes
54,retired,single,yes
54,technician,married,yes
50,admin.,single,yes
48,management,divorced,yes
41,services,married,yes
51,blue-collar,divorced,yes
42,technician,single,yes
58,retired,divorced,yes
47,unemployed,married,yes
58,admin.,married,yes
41,blue-collar,married,yes
50,admin.,married,yes
46,housemaid,married,yes
44,blue-collar,married,yes
36,services,married,yes
58,management,divorced,yes
44,unemployed,single,yes
49,entrepreneur,divorced,yes
55,management,married,yes
52,unemployed,married,yes
60,retired,divorced,yes
41,services,married,yes
36,management,married,yes
41,blue-collar,divorced,yes
50,entrepreneur,married,yes
44,housemaid,married,yes
54,technician,married,yes
35,management,married,yes
59,retired,divorced,yes
42,entrepreneur,married,yes
27,management,single,yes
59,housemaid,divorced,yes
43,admin.,married,yes
39,technician,single,yes
33,unemployed,married,yes
36,self-employed,single,yes
35,blue-collar,divorced,yes
50,blue-collar,married,yes
55,technician,married,yes
51,unemployed,divorced,yes
48,entrepreneur,married,yes
55,housemaid,divorced,yes
30,services,married,yes
53,blue-collar,married,yes
40,blue-collar,married,yes
44,technician,married,yes
49,management,divorced,yes
40,admin.,married,yes
58,unemployed,married,yes
49,services,married,yes
38,technician,married,yes
51,housemaid,divorced,yes
36,management,divorced,yes
55,retired,married,yes
43,technician,married,yes
60,management,divorced,yes
57,retired,married,yes
41,technician,married,yes
50,technician,married,yes
53,blue-collar,married,yes
59,retired,married,yes
59,housemaid,married,yes
52,unknown,married,yes
58,management,divorced,yes
59,retired,married,yes
49,technician,single,yes
33,management,divorced,yes
55,blue-collar,married,yes
42,technician,married,yes
52,services,married,yes
38,technician,married,yes
55,technician,married,yes
49,technician,married,yes
56,technician,divorced,yes
46,technician,married,yes
57,retired,divorced,yes
61,retired,married,yes
45,admin.,married,yes
39,management,married,yes
46,admin.,married,yes
43,management,single,yes
34,services,married,yes
35,management,divorced,yes
36,management,divorced,yes
45,management,divorced,yes
47,technician,married,yes
42,technician,married,yes
40,management,single,yes
40,technician,divorced,yes
32,technician,married,yes
33,technician,single,yes
32,self-employed,married,yes
46,blue-collar,married,yes
50,admin.,married,yes
51,blue-collar,married,yes
30,management,single,yes
39,technician,single,yes
47,admin.,married,yes
40,technician,divorced,yes
50,blue-collar,married,yes
60,management,married,yes
32,management,single,yes
57,technician,married,yes
41,self-employed,married,yes
50,technician,married,yes
46,technician,divorced,yes
31,management,married,yes
36,technician,single,yes
45,technician,divorced,yes
33,technician,divorced,yes
47,services,married,yes
35,management,married,yes
38,management,married,yes
33,management,married,yes
44,technician,single,yes
31,management,single,yes
31,management,single,yes
49,services,married,yes
52,services,married,yes
31,technician,married,yes
35,management,married,yes
31,management,single,yes
36,technician,divorced,yes
39,management,married,yes
46,management,married,yes
48,blue-collar,married,yes
36,management,married,yes
30,management,married,yes
33,management,single,yes
57,housemaid,married,yes
33,management,single,yes
35,management,married,yes
53,management,married,yes
41,management,married,yes
32,management,single,yes
41,management,married,yes
35,technician,single,yes
48,blue-collar,married,yes
34,management,married,yes
47,blue-collar,married,yes
46,unemployed,married,yes
60,retired,married,yes
39,management,married,yes
57,blue-collar,married,yes
36,unemployed,divorced,yes
30,management,married,yes
33,technician,married,yes
30,management,married,yes
36,technician,single,yes
49,blue-collar,married,yes
49,blue-collar,married,yes
40,unemployed,divorced,yes
49,blue-collar,married,yes
38,management,married,yes
31,management,single,yes
34,management,married,yes
39,management,married,yes
40,management,married,yes
47,technician,married,yes
37,technician,single,yes
44,technician,single,yes
55,management,married,yes
40,technician,married,yes
54,retired,married,yes
35,technician,married,yes
32,technician,single,yes
36,management,divorced,yes
37,management,married,yes
37,technician,single,yes
50,self-employed,married,yes
58,retired,married,yes
52,technician,divorced,yes
31,management,married,yes
40,management,married,yes
34,management,single,yes
53,services,married,yes
43,management,married,yes
30,technician,single,yes
34,technician,single,yes
48,admin.,divorced,yes
33,management,married,yes
37,management,single,yes
57,technician,divorced,yes
55,retired,married,yes
34,technician,married,yes
44,entrepreneur,married,yes
35,management,single,yes
34,housemaid,married,yes
49,services,married,yes
30,technician,married,yes
32,management,single,yes
56,blue-collar,married,yes
50,management,single,yes
32,technician,single,yes
45,technician,single,yes
52,management,married,yes
60,blue-collar,married,yes
47,management,married,yes
32,technician,single,yes
55,blue-collar,married,yes
36,management,single,yes
46,technician,married,yes
55,management,divorced,yes
30,management,single,yes
54,blue-collar,married,yes
31,management,divorced,yes
46,technician,single,yes
61,management,married,yes
58,retired,married,yes
38,technician,single,yes
49,technician,married,yes
43,management,single,yes
52,management,married,yes
33,self-employed,single,yes
33,management,married,yes
53,management,married,yes
40,admin.,single,yes
44,self-employed,married,yes
42,technician,divorced,yes
33,management,single,yes
53,technician,married,yes
60,admin.,married,yes
33,technician,single,yes
37,technician,married,yes
45,admin.,married,yes
34,technician,single,yes
56,technician,married,yes
57,technician,divorced,yes
32,management,single,yes
50,services,married,yes
30,services,single,yes
56,admin.,married,yes
55,blue-collar,married,yes
34,self-employed,single,yes
52,management,married,yes
32,management,single,yes
31,self-employed,married,yes
44,technician,married,yes
33,management,married,yes
53,blue-collar,married,yes
46,management,single,yes
46,entrepreneur,married,yes
59,admin.,married,yes
51,unemployed,married,yes
57,retired,married,yes
43,technician,married,yes
48,management,single,yes
33,housemaid,married,yes
59,blue-collar,married,yes
58,blue-collar,married,yes
32,management,single,yes
44,management,married,yes
47,blue-collar,married,yes
34,technician,married,yes
51,retired,married,yes
60,unknown,married,yes
46,admin.,married,yes
41,technician,married,yes
34,self-employed,single,yes
31,technician,divorced,yes
37,management,married,yes
59,retired,married,yes
55,services,married,yes
33,management,single,yes
30,technician,married,yes
36,management,married,yes
44,management,married,yes
36,technician,divorced,yes
33,management,single,yes
36,technician,married,yes
53,blue-collar,married,yes
47,admin.,divorced,yes
39,management,married,yes
35,technician,single,yes
32,management,single,yes
46,technician,divorced,yes
30,self-employed,married,yes
36,self-employed,single,yes
47,admin.,divorced,yes
52,technician,married,yes
43,management,married,yes
44,technician,single,yes
30,blue-collar,married,yes
32,admin.,married,yes
42,admin.,single,yes
33,services,married,yes
45,admin.,married,yes
45,blue-collar,married,yes
28,student,single,yes
32,technician,single,yes
28,self-employed,married,yes
44,admin.,divorced,yes
51,entrepreneur,married,yes
56,technician,married,yes
40,technician,divorced,yes
49,admin.,married,yes
50,management,single,yes
58,admin.,divorced,yes
37,admin.,married,yes
27,entrepreneur,married,yes
47,management,divorced,yes
39,admin.,married,yes
43,management,married,yes
34,technician,married,yes
35,management,divorced,yes
58,management,divorced,yes
35,management,single,yes
42,technician,divorced,yes
43,retired,married,yes
34,housemaid,married,yes
35,blue-collar,single,yes
38,admin.,single,yes
39,blue-collar,married,yes
58,retired,divorced,yes
60,management,married,yes
56,technician,married,yes
31,management,married,yes
37,services,married,yes
59,retired,divorced,yes
49,management,married,yes
30,management,single,yes
31,technician,single,yes
40,blue-collar,married,yes
43,admin.,married,yes
48,management,married,yes
34,management,married,yes
28,self-employed,single,yes
34,admin.,married,yes
47,blue-collar,married,yes
59,housemaid,married,yes
32,blue-collar,single,yes
31,entrepreneur,single,yes
27,student,single,yes
35,unemployed,single,yes
32,blue-collar,married,yes
57,blue-collar,married,yes
58,management,married,yes
30,technician,single,yes
37,management,married,yes
44,technician,divorced,yes
57,blue-collar,married,yes
34,blue-collar,married,yes
54,unemployed,single,yes
55,retired,married,yes
59,management,married,yes
53,retired,married,yes
37,technician,married,yes
45,entrepreneur,married,yes
49,technician,single,yes
31,blue-collar,single,yes
31,admin.,single,yes
35,technician,married,yes
37,entrepreneur,divorced,yes
48,management,married,yes
39,technician,single,yes
34,management,single,yes
49,management,married,yes
41,management,married,yes
46,management,married,yes
54,management,divorced,yes
38,technician,married,yes
39,entrepreneur,married,yes
46,management,married,yes
58,management,divorced,yes
32,self-employed,single,yes
30,admin.,married,yes
51,entrepreneur,married,yes
30,management,single,yes
35,management,divorced,yes
30,services,single,yes
30,self-employed,single,yes
43,management,married,yes
47,management,married,yes
51,retired,married,yes
32,services,single,yes
53,unemployed,divorced,yes
33,technician,single,yes
40,blue-collar,single,yes
42,blue-collar,married,yes
46,unemployed,divorced,yes
32,self-employed,single,yes
38,blue-collar,married,yes
32,technician,single,yes
30,entrepreneur,married,yes
35,technician,married,yes
36,admin.,married,yes
43,self-employed,divorced,yes
42,management,married,yes
40,management,married,yes
32,blue-collar,married,yes
32,technician,married,yes
41,blue-collar,single,yes
34,blue-collar,single,yes
40,services,single,yes
32,services,single,yes
32,technician,single,yes
36,self-employed,single,yes
45,technician,married,yes
47,self-employed,married,yes
35,management,divorced,yes
36,services,married,yes
33,technician,married,yes
30,blue-collar,married,yes
32,services,single,yes
45,entrepreneur,married,yes
47,services,married,yes
46,technician,married,yes
39,unemployed,single,yes
30,services,married,yes
45,self-employed,married,yes
43,blue-collar,married,yes
53,blue-collar,married,yes
43,technician,married,yes
54,management,divorced,yes
30,blue-collar,single,yes
30,admin.,married,yes
36,management,single,yes
33,management,married,yes
38,entrepreneur,married,yes
37,technician,divorced,yes
32,services,married,yes
59,technician,divorced,yes
59,retired,married,yes
46,admin.,divorced,yes
32,blue-collar,single,yes
52,entrepreneur,single,yes
45,blue-collar,married,yes
52,blue-collar,married,yes
31,blue-collar,married,yes
31,unemployed,married,yes
39,technician,single,yes
35,blue-collar,married,yes
33,services,married,yes
50,blue-collar,married,yes
36,management,married,yes
34,admin.,single,yes
46,blue-collar,divorced,yes
47,technician,married,yes
39,admin.,single,yes
31,self-employed,single,yes
41,management,single,yes
59,management,married,yes
39,management,divorced,yes
48,housemaid,married,yes
50,admin.,married,yes
31,admin.,single,yes
30,services,single,yes
31,management,married,yes
30,technician,married,yes
34,blue-collar,single,yes
53,blue-collar,married,yes
34,blue-collar,married,yes
57,management,married,yes
41,services,single,yes
40,admin.,married,yes
37,admin.,divorced,yes
31,management,married,yes
58,management,married,yes
39,unemployed,married,yes
47,technician,married,yes
44,management,married,yes
45,technician,married,yes
41,entrepreneur,married,yes
33,technician,single,yes
30,student,single,yes
30,student,single,yes
42,management,married,yes
49,management,married,yes
59,unemployed,single,yes
31,unknown,married,yes
43,management,married,yes
38,management,married,yes
30,services,married,yes
35,admin.,divorced,yes
43,technician,married,yes
34,management,single,yes
52,blue-collar,married,yes
46,management,married,yes
46,services,divorced,yes
37,admin.,single,yes
42,management,married,yes
23,unemployed,single,yes
53,management,divorced,yes
26,unemployed,single,yes
49,technician,married,yes
34,unknown,single,yes
28,unknown,single,yes
46,technician,divorced,yes
26,unemployed,single,yes
31,services,single,yes
51,admin.,single,yes
47,blue-collar,married,yes
53,blue-collar,married,yes
29,unemployed,single,yes
32,technician,single,yes
26,blue-collar,single,yes
40,management,single,yes
33,services,single,yes
49,unemployed,married,yes
60,technician,married,yes
41,management,single,yes
36,technician,single,yes
29,services,single,yes
42,admin.,divorced,yes
33,entrepreneur,single,yes
31,admin.,divorced,yes
31,unemployed,single,yes
26,services,single,yes
40,technician,single,yes
45,unemployed,married,yes
55,technician,married,yes
29,technician,single,yes
47,management,single,yes
50,unemployed,divorced,yes
44,unemployed,married,yes
56,unemployed,married,yes
39,student,single,yes
59,retired,single,yes
43,management,divorced,yes
36,admin.,married,yes
29,admin.,single,yes
38,management,married,yes
41,services,divorced,yes
58,management,divorced,yes
61,management,married,yes
36,management,married,yes
30,self-employed,single,yes
43,admin.,single,yes
39,services,married,yes
48,blue-collar,single,yes
26,student,single,yes
51,technician,married,yes
37,management,married,yes
29,technician,single,yes
57,admin.,married,yes
25,admin.,single,yes
68,retired,divorced,yes
34,management,married,yes
38,technician,divorced,yes
54,technician,divorced,yes
32,management,single,yes
41,blue-collar,married,yes
48,technician,single,yes
59,retired,divorced,yes
39,unemployed,single,yes
31,management,married,yes
30,entrepreneur,single,yes
40,management,married,yes
28,self-employed,married,yes
52,management,married,yes
32,technician,single,yes
34,management,married,yes
31,unemployed,single,yes
57,admin.,married,yes
31,self-employed,married,yes
29,management,married,yes
75,retired,divorced,yes
32,admin.,single,yes
31,management,married,yes
41,self-employed,single,yes
22,admin.,single,yes
31,unemployed,single,yes
69,retired,married,yes
30,self-employed,married,yes
49,blue-collar,divorced,yes
29,management,single,yes
43,blue-collar,married,yes
28,services,single,yes
56,unemployed,single,yes
39,admin.,married,yes
33,blue-collar,married,yes
38,technician,married,yes
30,admin.,single,yes
29,technician,married,yes
69,management,married,yes
44,management,married,yes
35,management,single,yes
31,technician,single,yes
26,entrepreneur,single,yes
26,entrepreneur,single,yes
34,unemployed,married,yes
42,technician,single,yes
54,services,married,yes
53,management,married,yes
54,technician,married,yes
48,entrepreneur,single,yes
40,unemployed,married,yes
28,technician,single,yes
34,entrepreneur,married,yes
34,management,single,yes
32,management,single,yes
31,services,single,yes
31,management,single,yes
66,technician,married,yes
37,technician,single,yes
33,management,married,yes
50,management,married,yes
33,blue-collar,single,yes
56,management,married,yes
26,services,single,yes
59,retired,divorced,yes
32,blue-collar,married,yes
22,student,single,yes
34,management,married,yes
39,services,married,yes
28,technician,single,yes
31,self-employed,single,yes
33,blue-collar,single,yes
66,retired,married,yes
26,admin.,single,yes
30,admin.,single,yes
28,technician,single,yes
29,technician,single,yes
49,services,married,yes
34,admin.,married,yes
47,blue-collar,married,yes
42,technician,married,yes
43,management,married,yes
61,retired,married,yes
35,technician,single,yes
40,blue-collar,married,yes
31,management,divorced,yes
33,management,married,yes
69,retired,married,yes
30,services,single,yes
41,technician,married,yes
31,management,married,yes
22,student,single,yes
37,admin.,married,yes
48,management,single,yes
85,retired,married,yes
72,retired,married,yes
46,admin.,divorced,yes
26,technician,single,yes
37,technician,married,yes
53,management,divorced,yes
33,management,single,yes
90,retired,divorced,yes
54,admin.,divorced,yes
67,retired,married,yes
42,management,divorced,yes
71,retired,married,yes
44,admin.,divorced,yes
47,entrepreneur,married,yes
44,admin.,married,yes
37,technician,single,yes
37,services,married,yes
28,self-employed,single,yes
21,blue-collar,single,yes
32,management,single,yes
51,technician,married,yes
26,student,single,yes
74,retired,married,yes
65,retired,married,yes
47,technician,married,yes
